"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         240,      -1.638517906,     -0.6848945346,     -0.6187714493,       1.750251544,      -8.255873507
          0,           0,         241,      -1.693014547,     -0.7158286512,     -0.6309800607,       1.719926565,      -8.254188707
          0,           0,         242,      -1.639190615,     -0.7108147567,     -0.5842738133,       1.669038797,      -8.240571162
          0,           0,         243,       -1.59537512,     -0.6832124283,     -0.5337154706,        1.66519781,      -8.217438986
          0,           0,         244,      -1.534389416,     -0.6700277762,     -0.4493710545,        1.49606984,      -8.182989367
          0,           0,         245,      -1.475647484,     -0.7183058815,     -0.3508561506,       1.515626511,       -8.14676545
          0,           0,         246,      -1.430162673,      -0.690799436,     -0.2515238479,       1.553450595,      -8.107782487
          0,           0,         247,      -1.773077918,      -0.556853598,     -0.7216871432,       1.580175005,      -8.100151494
          0,           0,         248,      -1.770685649,     -0.5524199427,     -0.7317849939,       1.603692456,      -8.090037028
          0,           0,         249,      -1.807748895,     -0.7056363209,     -0.7976512642,       1.625083331,      -8.064162312
          0,           0,         250,      -1.803688687,     -0.3837119985,      -0.610728224,       1.662956711,      -8.029510325
          0,           0,         251,      -1.788091126,     -0.1577845698,     -0.4621400232,       1.746326575,      -7.998626166
          0,           0,         252,        -1.7475702,     -0.6612978635,     -0.6099437396,       1.706919439,      -7.980327121
          0,           0,         253,      -1.608552497,     -0.3736558077,     -0.4497267458,       1.724025552,      -7.966560972
          0,           0,         254,      -1.509286828,     -0.3225394788,      -0.630866311,       1.749469497,        -7.9724756
          0,           0,         255,      -1.556785943,     -0.3675365829,     -0.6301828909,       1.733433839,      -7.977841862
          0,           0,         256,      -1.566713708,     -0.4040786889,     -0.6278572582,       1.760324288,      -7.966572282
          0,           0,         257,      -1.575905805,      -0.454490337,     -0.5946078304,       1.804688697,      -7.941177789
          0,           0,         258,      -1.557354105,     -0.4564872596,     -0.5223842965,       1.866733832,      -7.905266242
          0,           0,         259,       -1.55813817,     -0.4949404675,     -0.5016891122,        1.97252904,      -7.871011239
          0,           0,         260,      -1.563994559,     -0.4825060174,      -0.473065466,       2.087304781,      -7.834147639
          0,           0,         261,      -1.550654741,     -0.3284081815,     -0.3739691333,       2.209687533,      -7.800368271
          0,           0,         262,       -1.61767333,     -0.3186838791,     -0.3463771427,       2.345890052,      -7.764981265
          0,           0,         263,      -1.409461542,     -0.2666564686,     0.06984653705,       2.599966195,      -7.730711908
          0,           0,         264,      -1.436751369,     -0.4809503567,     0.08474557567,       2.481592178,       -7.70039809
          0,           0,         265,      -1.455948271,     -0.2640412083,     0.05227794754,       2.365045073,       -7.68258493
          0,           0,         266,      -1.491278402,     -0.3740315762,   -0.007654376704,        2.26534332,       -7.66046011
          0,           0,         267,      -1.539723808,     -0.4307900516,     -0.1136223971,       2.156187789,      -7.629032805
          0,           0,         268,       -1.58815517,     -0.4043979473,     -0.2087232637,       2.015829652,       -7.59987427
          0,           0,         269,       -1.60408114,     -0.4281922531,     -0.3038994428,       1.880496591,      -7.579902434
          0,           0,         270,      -1.623052836,      -0.467464117,     -0.3452518107,       1.777253629,      -7.562025002
